p0,base_max_observations,comparison_max_observations,cutoff_label,cutoff_observations,states_compared,policy_disagreement_count,policy_disagreement_rate,product2_share_base,product2_share_comparison,mean_abs_q_gap_diff,max_abs_q_gap_diff,mean_abs_D_diff,max_abs_D_diff,initial_product_base,initial_product_comparison,initial_q_gap_base,initial_q_gap_comparison
0.5,100,150,all_common_states,100,5151,0,0.0,0.0297029702970297,0.0297029702970297,0.0077933659747988285,0.4410955527133389,0.02050885782841812,1.1607777702982602,2,2,0.702788205557102,0.7027757299995354
0.5,100,150,safe_interior,90,4186,0,0.0,0.036550406115623504,0.036550406115623504,0.004562019355050021,0.08087839798768037,0.01200531409223701,0.2128378894412588,2,2,0.702788205557102,0.7027757299995354
0.55,100,150,all_common_states,100,5151,0,0.0,0.021160939623374102,0.021160939623374102,0.009456806175813253,0.41801996217528803,0.024886332041613887,1.1000525320402312,2,2,0.714324704900652,0.7143235676683402
0.55,100,150,safe_interior,90,4186,0,0.0,0.026039178213091256,0.026039178213091256,0.0057268201969182825,0.10012412102725321,0.015070579465574375,0.2634845290190917,2,2,0.714324704900652,0.7143235676683402
0.6,100,150,all_common_states,100,5151,0,0.0,0.015142690739662202,0.015142690739662202,0.010943833337527022,0.39920828091390703,0.02879956141454479,1.0505481076681784,2,2,0.6826025022313029,0.6826024671316926
0.6,100,150,safe_interior,90,4186,0,0.0,0.018633540372670808,0.018633540372670808,0.006679585396364673,0.11969747244877382,0.017577856306222737,0.31499334854940386,2,2,0.6826025022313029,0.6826024671316926
0.65,100,150,all_common_states,100,5151,0,0.0,0.009900990099009901,0.009900990099009901,0.012128521852700695,0.38397996682102686,0.03191716277026506,1.010473596897441,2,2,0.606865835609252,0.6068658352959133
0.65,100,150,safe_interior,90,4186,0,0.0,0.012183468705207836,0.012183468705207836,0.007258625997996973,0.14052539889094717,0.019101647363149916,0.36980368129196606,2,2,0.606865835609252,0.6068658352959133
0.7,100,150,all_common_states,100,5151,8,0.0015530964861192001,0.007571345369831101,0.006018248883711901,0.012804952707711878,0.37353306003989317,0.03369724396766292,0.9829817369470897,2,2,0.4920904852968997,0.4920904852962922
0.7,100,150,safe_interior,90,4186,0,0.0,0.007405637840420449,0.007405637840420449,0.007268780807918706,0.16305417499793684,0.019128370547154445,0.42908993420509134,2,2,0.4920904852968997,0.4920904852962922
