p0,base_max_observations,comparison_max_observations,cutoff_label,cutoff_observations,states_compared,policy_disagreement_count,policy_disagreement_rate,product2_share_base,product2_share_comparison,mean_abs_q_gap_diff,max_abs_q_gap_diff,mean_abs_D_diff,max_abs_D_diff,initial_product_base,initial_product_comparison,initial_q_gap_base,initial_q_gap_comparison
0.8,100,150,safe_interior,90,4186,43,0.010272336359292882,0.34663162924032487,0.3569039655996178,0.01508920948722029,0.2754652209156703,0.0342158945288442,0.6246376891511822,2,2,5.523540375003879,5.5014320712361755
0.85,100,150,all_common_states,100,5151,66,0.0128130460104834,0.2780042710153368,0.29081731702582025,0.03800136687747632,1.651221863933248,0.08617089994892602,3.744267265154768,2,2,4.12033987621643,4.1114948393330355
0.85,100,150,safe_interior,90,4186,8,0.0019111323459149545,0.29789775441949357,0.2998088867654085,0.029318596911113562,0.5337906447448546,0.066482079163523,1.2104096252717795,2,2,4.12033987621643,4.1114948393330355
0.9,100,150,all_common_states,100,5151,23,0.0044651523975927,0.21782178217821782,0.22228693457581053,0.04693949732270808,1.5725172606554452,0.10643876943924735,3.5657987769964627,2,2,2.788766431326562,2.788288945677949
0.9,100,150,safe_interior,90,4186,0,0.0,0.22981366459627328,0.22981366459627328,0.03408811568927752,0.9900604209009849,0.07729731448815767,2.24503496802944,2,2,2.788766431326562,2.788288945677949
0.1,100,200,all_common_states,100,5151,38,0.007377208309066201,0.1809357406328868,0.18054746651135703,0.03004299134829566,4.811619548469509,0.06812469693491088,10.91070192396715,2,2,0.14097735308839532,0.14097723027629172
0.1,100,200,safe_interior,90,4186,5,0.0011944577161968467,0.18872431915910176,0.18752986144290493,0.003022004306608043,0.8502245502461747,0.00685261747530179,1.9279468259550452,2,2,0.14097735308839532,0.14097723027629172
0.15,100,200,all_common_states,100,5151,43,0.0083478936128907,0.23005241700640652,0.2294700058241118,0.03299352501152097,3.7511048567656067,0.07481524945923129,8.505906704683913,2,2,0.2562778358843403,0.2562738822244057
0.15,100,200,safe_interior,90,4186,8,0.0019111323459149545,0.2429526994744386,0.24104156712852365,0.005656433353174111,0.9662259031956033,0.012826379485655645,2.190988442620423,2,2,0.2562778358843403,0.2562738822244057
0.2,100,200,all_common_states,100,5151,44,0.0085420306736556,0.267909143855562,0.26829741797709183,0.03497008127148263,3.222857589887501,0.07929723644327132,7.3080670972505715,2,2,0.4045747924974421,0.4045725010149184
