p0,iteration,residual
0.6,550,1.4482354067979486e-05
0.6,575,8.739589887341026e-06
0.6,600,5.274034258206939e-06
0.6,625,3.182693667724834e-06
0.6,650,1.920643391883914e-06
0.6,675,1.1590405506467505e-06
0.6,700,6.994401005044892e-07
0.6,725,4.220874387783624e-07
0.6,750,2.547148909570751e-07
0.6,775,1.537114542315976e-07
0.6,800,9.275944989894924e-08
0.6,825,5.597706120852308e-08
0.6,850,3.378018931243787e-08
0.6,875,2.0385165555580897e-08
0.6,900,1.2301725860197621e-08
0.6,925,7.423672343520593e-09
0.6,950,4.479929316403286e-09
0.6,975,2.703494317302102e-09
0.6,1000,1.6314700701514084e-09
0.6,1025,9.8454222552391e-10
0.65,1,0.95
0.65,25,0.5849913196836241
0.65,50,0.35302162865588116
0.65,75,0.21303610174292942
0.65,100,0.1285597735714461
0.65,125,0.07758128901873107
0.65,150,0.04681757161360167
0.65,175,0.02825275320270748
0.65,200,0.01704954007698234
0.65,225,0.01028879609541633
0.65,250,0.006208925555469591
0.65,275,0.0037468675825493847
0.65,300,0.002261102433230633
0.65,325,0.0013644955688718596
0.65,350,0.0008234249497576229
0.65,375,0.0004969079148011701
0.65,400,0.00029986640054602276
0.65,425,0.00018095879637769485
0.65,450,0.00010920225115995663
0.65,475,6.589970699621972e-05
0.65,500,3.9768148873520204e-05
0.65,525,2.399867521774013e-05
0.65,550,1.4482354067979486e-05
0.65,575,8.739589887341026e-06
0.65,600,5.274034258206939e-06
0.65,625,3.1826936606194067e-06
0.65,650,1.920643377673059e-06
0.65,675,1.1590405364358958e-06
0.65,700,6.994400933990619e-07
0.65,725,4.220874387783624e-07
0.65,750,2.5471488385164776e-07
0.65,775,1.5371144712617024e-07
0.65,800,9.275944989894924e-08
0.65,825,5.597706831395044e-08
0.65,850,3.378018931243787e-08
0.65,875,2.038515845015354e-08
0.65,900,1.2301732965624979e-08
0.65,925,7.4236652380932355e-09
0.65,950,4.4799222109759285e-09
0.65,975,2.7034872118747444e-09
0.65,1000,1.631477175578766e-09
0.65,1025,9.8454222552391e-10
0.7,1,0.95
0.7,25,0.5849913196836241
0.7,50,0.35302162865588116
0.7,75,0.21303610174292942
0.7,100,0.1285597735714461
0.7,125,0.07758128901873107
0.7,150,0.04681757161358746
0.7,175,0.028252753202700376
0.7,200,0.017049540076975234
0.7,225,0.010288796095409225
0.7,250,0.006208925555469591
0.7,275,0.0037468675825493847
0.7,300,0.002261102433216422
0.7,325,0.0013644955688718596
0.7,350,0.0008234249497505175
0.7,375,0.0004969079147940647
0.7,400,0.00029986640053891733
0.7,425,0.000180958796363484
0.7,450,0.00010920225115995663
0.7,475,6.589970698911429e-05
0.7,500,3.9768148866414776e-05
0.7,525,2.399867521774013e-05
0.7,550,1.4482354053768631e-05
0.7,575,8.739589887341026e-06
0.7,600,5.2740342511015115e-06
0.7,625,3.1826936606194067e-06
0.7,650,1.920643370567632e-06
0.7,675,1.1590405364358958e-06
0.7,700,6.994400933990619e-07
0.7,725,4.220874245675077e-07
0.7,750,2.5471488385164776e-07
0.7,775,1.537114542315976e-07
0.7,800,9.275944279352188e-08
0.7,825,5.597706120852308e-08
0.7,850,3.378018931243787e-08
0.7,875,2.038515845015354e-08
0.7,900,1.2301725860197621e-08
0.7,925,7.4236652380932355e-09
0.7,950,4.4799222109759285e-09
0.7,975,2.7034872118747444e-09
0.7,1000,1.6314629647240508e-09
0.7,1025,9.845351200965524e-10
0.75,1,0.9499999999999954
0.75,25,0.5849913196835566
0.75,50,0.35302162865579234
0.75,75,0.21303610174285126
0.75,100,0.12855977357138215
0.75,125,0.07758128901868133
0.75,150,0.046817571613551934
0.75,175,0.028252753202671954
0.75,200,0.017049540076961023
0.75,225,0.010288796095395014
0.75,250,0.00620892555545538
0.75,275,0.0037468675825422793
0.75,300,0.002261102433216422
0.75,325,0.0013644955688647542
0.75,350,0.0008234249497505175
0.75,375,0.0004969079147940647
0.75,400,0.0002998664005247065
0.75,425,0.000180958796363484
0.75,450,0.00010920225114574578
0.75,475,6.589970698200887e-05
0.75,500,3.9768148866414776e-05
0.75,525,2.39986752106347e-05
0.75,550,1.4482354046663204e-05
0.75,575,8.739589873130171e-06
0.75,600,5.274034243996084e-06
0.75,625,3.182693646408552e-06
0.75,650,1.920643370567632e-06
0.75,675,1.1590405293304684e-06
0.75,700,6.994400862936345e-07
0.75,725,4.220874245675077e-07
0.75,750,2.547148767462204e-07
0.75,775,1.5371144712617024e-07
0.75,800,9.275944279352188e-08
0.75,825,5.5977054103095725e-08
0.75,850,3.3780175101583154e-08
0.75,875,2.0385144239298825e-08
0.75,900,1.2301718754770263e-08
0.75,925,7.423658132665878e-09
0.75,950,4.4799222109759285e-09
0.75,975,2.7034801064473868e-09
0.75,1000,1.6314629647240508e-09
0.75,1025,9.845351200965524e-10
0.8,1,0.9499999999969037
0.8,25,0.5849913196359573
0.8,50,0.3530216285983485
0.8,75,0.21303610169085374
0.8,100,0.1285597735295454
0.8,125,0.07758128898711902
0.8,150,0.04681757159070088
0.8,175,0.028252753186585267
0.8,200,0.017049540065862345
0.8,225,0.010288796087863261
0.8,250,0.006208925550403421
0.8,275,0.0037468675791885175
0.8,300,0.002261102431006634
0.8,325,0.001364495567415247
0.8,350,0.0008234249488126011
0.8,375,0.0004969079141901034
0.8,400,0.000299866400133908
0.8,425,0.00018095879611479404
0.8,450,0.00010920225098942637
0.8,475,6.589970687542746e-05
0.8,500,3.97681487953605e-05
0.8,525,2.3998675168002137e-05
0.8,550,1.4482354025346922e-05
0.8,575,8.739589858919317e-06
0.8,600,5.274034229785229e-06
0.8,625,3.1826936393031247e-06
0.8,650,1.920643356356777e-06
0.8,675,1.1590405293304684e-06
0.8,700,6.994400791882072e-07
0.8,725,4.2208741746208034e-07
0.8,750,2.5471486964079304e-07
0.8,775,1.5371144002074288e-07
0.8,800,9.275943568809453e-08
0.8,825,5.597704699766837e-08
0.8,850,3.3780175101583154e-08
0.8,875,2.0385144239298825e-08
0.8,900,1.2301718754770263e-08
0.8,925,7.42365102723852e-09
0.8,950,4.479915105548571e-09
0.8,975,2.703473001020029e-09
0.8,1000,1.6314558592966932e-09
0.8,1025,9.845351200965524e-10
0.85,1,0.9499999985872505
0.85,25,0.5849912979350407
0.85,50,0.35302160240687286
0.85,75,0.21303607798240165
0.85,100,0.1285597544532635
0.85,125,0.0775812745972928
0.85,150,0.04681756117018665
0.85,175,0.028252745850103622
0.85,200,0.017049535006087524
0.85,225,0.010288792652794143
0.85,250,0.006208923247136511
0.85,275,0.003746866050249764
0.85,300,0.002261101424473111
0.85,325,0.0013644949093958303
0.85,350,0.0008234245211653501
0.85,375,0.0004969076376823978
